ID,Title,Link,url_status,http_status_code,final_url,content_type,detected_type,content_length,final_decision,skip_reason
1,"Hosting Accessible Online Events, Meetings and Webinars",https://www.autistica.org.uk/what-is-autism/coronavirus/accessible-online-events,ok,200,https://www.autistica.org.uk/what-is-autism/lifeskills-for-managing-your-autism/accessible-online-events,text/html; charset=UTF-8,html,,extract,
5,"All Welcome Guide to Inclusive, Accessible and Sustainable Events",https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,ok,200,https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,text/html;charset=UTF-8,html,,extract,
7,"We Are the Ones That We Seek: Equality, Diversity and Inclusion In CREDS",https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,ok,200,https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,text/html; charset=UTF-8,html,,extract,
8,Diverse Panel Pledge,https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/,error,,,,unknown,,skip,unreachable_or_error
9,Inclusive Language: Words To Use and Avoid When Writing About Disability,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,ok,200,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,text/html; charset=utf-8,html,16014,extract,
11,"The Equality Act 2010: Positive Action Through Bursaries, Scholarships and Prizes",https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,ok,200,https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,application/pdf,pdf,153016,extract,
13,The Broken Pipeline Report: Barriers to Black PhD Students Accessing Research Council Funding,https://www.leadingroutes.org/the-broken-pipeline-report/,ok,200,https://www.leadingroutes.org/the-broken-pipeline-report/,text/html; charset=UTF-8,html,,extract,
15,LMS Advice on Diversity of Speakers at Conferences and Seminars,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,ok,200,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,text/html; charset=UTF-8,html,,extract,
17,Reports And Policy Submissions,https://www.lms.ac.uk/policy/reports-and-policy-submissions,ok,200,https://www.lms.ac.uk/policy/reports-and-policy-submissions,text/html; charset=UTF-8,html,,extract,
18,"Diversity Statements, Policy, Advice",https://www.lms.ac.uk/women/diversity-statements-policy-advice,ok,200,https://www.lms.ac.uk/women/diversity-statements-policy-advice,text/html; charset=UTF-8,html,,extract,
19,Inclusivity In Materials Science,https://www.nature.com/collections/jdgjdceijd,ok,200,https://www.nature.com/collections/jdgjdceijd,"text/html; charset=""UTF-8""",html,,extract,
20,Northern Power Inclusion Matters Project,https://northernpowerinclusion.org/,ok,200,https://northernpowerinclusion.org/,text/html; charset=UTF-8,html,,extract,
21,Phy Soc Podcast Episode - Prof. Kate Sang,https://www.st-andrews.ac.uk/~physoc1/insight/episode.php?s=academics&ep=41,ok,200,https://www.st-andrews.ac.uk/~physoc1/insight/episode.php?s=academics&ep=41,text/html; charset=UTF-8,html,,extract,
22,LGBT+ Toolkit,https://www.rsc.org/policy-evidence-campaigns/inclusion-diversity/resources/lgbt-toolkit/,ok,200,https://www.rsc.org/policy-and-campaigning/science-culture/resources-and-toolkits/lgbt-toolkit,text/html; charset=utf-8,html,,extract,
23,Exploring The Workplace For LGBT+ Physical Scientists,https://www.rsc.org/policy-evidence-campaigns/inclusion-diversity/surveys-reports-campaigns/lgbt-report/,ok,200,https://www.rsc.org/policy-and-campaigning/science-culture/the-workplace-for-lgbt-physical-scientists,text/html; charset=utf-8,html,,extract,
24,Considering International Mobility For LGBT+ Scientists,https://www.rsc.org/globalassets/22-new-perspectives/talent/inclusion-and-diversity/resources/lgbt-toolkit/considering-lgbt-international-mobility.pdf,ok,200,https://www.rsc.org/policy-and-campaigning/science-culture/resources-and-toolkits/lgbt-toolkit,text/html; charset=utf-8,html,,extract,
25,An Employer's Guide to ADHD In the Workplace,https://www.scottishadhdcoalition.org/wp-content/uploads/2018/03/Employers-guide-to-ADHD-SAC-2018.pdf,ok,200,https://www.scottishadhdcoalition.org/wp-content/uploads/2018/03/Employers-guide-to-ADHD-SAC-2018.pdf,application/pdf,pdf,831671,extract,
27,Comprehensive Guidance on Modifying Existing Lab Spaces to Enable Equal Access to Disabled Students,https://robertaerichardson.wixsite.com/stemenabled,ok,200,https://robertaerichardson.wixsite.com/stemenabled,text/html; charset=UTF-8,html,,extract,
29,"Who You Should Hire, Fire & Promote",https://www.youtube.com/watch?app=desktop&v=cAs49Cl4kJ8,ok,200,https://www.youtube.com/watch?app=desktop&v=cAs49Cl4kJ8,text/html; charset=utf-8,html,0,extract,
32,Using Pronouns in The Workplace,https://www.lawsociety.org.uk/topics/hr-and-people-management/using-pronouns-in-the-workplace,error,,,,unknown,,skip,unreachable_or_error
33,Accessibility Posters,https://github.com/UKHomeOffice/posters/blob/master/accessibility/dos-donts/posters_en-UK/accessibility-posters-set.pdf,ok,200,https://github.com/UKHomeOffice/posters/blob/master/accessibility/dos-donts/posters_en-UK/accessibility-posters-set.pdf,text/html; charset=utf-8,html,,extract,
35,UKRI Good Practice Principles in Recruitment and Training at A Doctoral Level,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,ok,200,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,text/html; charset=UTF-8,html,,extract,
36,"Equality, Diversity and Inclusion Champions",https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,ok,200,https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,text/html,html,,extract,
38,Making Meetings and Events Accessible,https://documents.manchester.ac.uk/display.aspx?DocID=11993,ok,200,https://documents.manchester.ac.uk/display.aspx?DocID=11993,application/pdf,pdf,210953,extract,
39,Towards Diverse Workforces: Transforming The Language of Exclusion and Bias in Recruitment,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,ok,200,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,application/pdf,pdf,1799993,extract,
40,Best Practice Guide: Developing Inclusive Conferences,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,ok,200,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,application/pdf,pdf,3495629,extract,
41,HR EDI Online Inclusive Recruitment Guide,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,ok,200,https://login.st-andrews.ac.uk/idp/profile/SAML2/Redirect/SSO?execution=e1s1,text/html;charset=utf-8,html,,extract,
42,"Equality, Diversity and Inclusion Champions",https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,ok,200,https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,text/html; charset=UTF-8,html,20,extract,
44,100 Black Women Professors Now Impact Report,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,ok,200,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,application/pdf,pdf,3383417,extract,
46,SCUPLT For Accessibility,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,ok,200,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,application/pdf,pdf,169178,extract,
47,National Association of Disabled Staff Networks,https://www.nadsn-uk.org/,ok,200,https://www.nadsn-uk.org/,text/html; charset=UTF-8,html,,extract,
48,Association For Black and Ethnic Minority Engineers,https://www.afbe.org.uk/,ok,200,https://afbe.org.uk/,text/html; charset=utf-8,html,,extract,
52,Tech Talent Charter Toolkit,https://www.techtalentcharter.co.uk/,ok,200,https://www.techtalentcharter.co.uk/,text/html; charset=UTF-8,html,,extract,
53,Neuro-Inclusive Meetings and Events Toolkit,https://leeds365.sharepoint.com/:p:/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,error,,,,unknown,,skip,unreachable_or_error
