ID,Example,Title,Author,Institution,Link,LinkIsAccesible,Included_Excluded,Reason for Exclusion (if applicable),Date Accessed,Date Created,Accountable Person,Summary (will be generated using AI),Subject of Resource (Archived),Type of Resource (Archived),Resource Subject (Modified),Resource Type (Modified),Resource Format (Modified),Sector,Level,Discipline (Archived),Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture,Miscellaneous Themes,Evaluated in Resource,Evaluation Link,Evalution Methods,Outcomes Measured,EDI Intervention Readiness Level,EDI Intervention Readiness (Archive)
1,,"Hosting Accessible Online Events, Meetings and Webinars",Autistica,Autistica,https://www.autistica.org.uk/what-is-autism/coronavirus/accessible-online-events,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Framework,Webpage,"Policies, Strategies & Processes",Guidance Resources,Webpage,Not-for-profit,University/Organisation,Any,Neurodiversity,Career Pathway,,Accessible & Inclusive Workspaces,,No,,,,Pilot in single setting,Pilot in single setting
2,Example,What Is White Privilege?,John Amaechi,BBC Bitesize,https://www.bbc.co.uk/bitesize/articles/zrvkbqt,Available,Excluded ,Describing and raising awareness of an aspect of EDI but not providing resource of an initative.,2025-04-14 00:00:00,2020-07-01 00:00:00,Anna Linton,,Training,Video,,,,Not-for-profit,Other,Any,Race,,,,,,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
3,,The Quiet Power of Introverts ,BBC Ideas,BBC Ideas,https://www.youtube.com/watch?v=o1Y4Z0oh1GE,Available,Excluded ,Describing and raising awareness of an aspect of EDI but not providing resource of an initative.,2025-04-14 00:00:00,2020-01-01 00:00:00,Anna Linton,,Training,Video,,,,Not-for-profit,,Any,Abilities ,,,,,,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
4,,We Must Reshape the System to Value and Support Difference,Dame Ottoline Leyser ,UKRI,https://www.ukri.org/blog/we-must-reshape-the-system-to-value-and-support-difference,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
5,,"All Welcome Guide to Inclusive, Accessible and Sustainable Events",British Academy of Management,British Academy of Management,https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,Available,Included  ,,2025-04-14 00:00:00,2021-11-01 00:00:00,Anna Linton,,Framework,PDF,"Policies, Strategies & Processes",Guidance Resources,Document,Not-for-profit,Learned Society,Non-EPS,Not Specified,,,"Accessible & Inclusive Workspaces, Diverse Representation",,No,,,,Scaling,Scaling
6,,Diversity And Inclusion Hub ,Pearn Kandola,,https://pearnkandola.com/diversity-and-inclusion-hub/,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
7,,"We Are the Ones That We Seek: Equality, Diversity and Inclusion In CREDS",Sarah Higginson,Centre for Research into Energy Demand Solutions,https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,Available,Included  ,,2025-04-14 00:00:00,2023-12-01 00:00:00,Anna Linton,,Project,Webpage,Programme or Initiative,Article,Webpage,Academia,Project,Energy and Decarbonisation,Not Specified,"Recruitment Strategies, Career Progression", Resource Allocation,"Harassment, Bullying and Microagression Prevention, Accessible & Inclusive Workspaces, Diverse Representation, Inclusive Language",,Yes ,https://www.creds.ac.uk/evaluating-the-impact-of-equality-diversity-and-inclusion-edi-research/,Reporting and Monitoring,"recrutiment statistics, EDI action plan, publications, call for evidence, supporting tools",Pilot in single setting,Scaling
8,,Diverse Panel Pledge,CGIAR,CGIAR,https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,"Strategies, policies or processes",Webpage,Programme or Initiative,Informational Resource,Webpage,Not-for-profit,Multiple Universities/Organisations,Agriculture,"Sex, Race, Age, Nationality, Abilties, Socio-Economic Background",,Panel Diversity ,Diverse Representation,,No,,,,Not applicable,Scaling
9,Example,Inclusive Language: Words To Use and Avoid When Writing About Disability,"Disability Unit, GOV.UK","Disability Unit, GOV.UK",https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,Available,Included  ,,2025-04-14 00:00:00,2021-03-01 00:00:00,Anna Linton,,Framework,Webpage,"Policies, Strategies & Processes",Guidance Resources,Webpage,Government,University/Organisation,Any,Disability,,,Inclusive Language,,No,,,,Pilot in single setting,Pilot in single setting
10,,"Equality, Diversity and Inclusion Champions",University of Warwick ,University of Warwick ,https://warwick.ac.uk/services/socialinclusion/about/people/champions/ediwellbeingchampions,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
11,,"The Equality Act 2010: Positive Action Through Bursaries, Scholarships and Prizes",Equality Change Unit,Equality Change Unit,https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,"Strategies, policies or processes",Policy Document,"Policies, Strategies & Processes",Policy Document,Document,Academia,Multiple Universities/Organisations,Any,"Age, Disability, Trans Identity, Pregnancy and Maternity, Race, Religion or Belief, Sex, Sexual Orientation",,"Addressing Structural Inequality, Transparency and Accessiblity of Process",,,No,,,,Not applicable,Widespread Adoption 
12,,Events Code of Conduct ,Knowledge transfer network ,Knowledge transfer Network,https://info.ktn-uk.org/p/2VFU-94T/inspiring-diversity-in-manufacturing-speaker-list,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
13,,The Broken Pipeline Report: Barriers to Black PhD Students Accessing Research Council Funding,"Paulette Williams, Sukhi Bath, Dr. Jason Arday and Chantelle Lewis",Leading Routes,https://www.leadingroutes.org/the-broken-pipeline-report/,Available,Included  ,,2025-04-14 00:00:00,2019-09-01 00:00:00,Anna Linton,,Other,Report,Other,Report,Document,Academia,,Any,Race,"Retention Strategies, Professional Development, Diverse Leadership, Recruitment Strategies", Application Support,,,No,,,,Not applicable,Widespread adoption
